No;Dependen;Dummy;Independen_1;Independen_2
154;0;0;77.98798;12
155;0;1;72.83795;13.611382
156;1;0;51.64999;12
157;1;0;51.31299;12.821571
158;0;0;64.08197;11.421669
159;1;0;26.09698;12
160;0;0;74.86395;14
161;0;0;61.65097;12
162;1;0;57.62399;16
163;1;0;68.39996;9.945259
164;0;1;66.84497;9.945259
165;1;0;29.53;15
166;1;0;50.155;4
167;0;1;78.60394;10
168;0;1;74.40094;8
169;0;1;37.689;12
170;1;0;49.09;14
171;0;1;67.35699;20
172;1;1;49.89499;12
173;1;1;49.37698;17
174;0;0;20.99699;14
175;1;1;50.155;11
176;1;1;44.48199;12
177;0;0;76.97198;11.522331
178;1;1;24.241;14
179;1;0;72.58295;8
180;0;0;38.448;12
181;1;0;66.64197;3
182;0;1;72.56097;16
183;0;1;78.72095;7
184;1;0;80.87598;14
185;0;1;74.17395;11.421669
186;0;0;48.05499;10
187;0;1;83.01996;15
188;1;0;46.53497;12
189;1;1;68.68994;9.945259
190;1;0;39.62198;11.040535
191;0;0;53.24799;9
192;1;1;61.16098;12
193;0;1;46.89099;5
194;1;0;50.396;12
195;0;1;43.25;8
196;1;0;67.49896;11
197;0;0;59.44397;24
198;0;0;76.57996;10
199;0;0;59.61099;10
200;1;0;51.70999;14.252106
201;0;1;19.674;14
202;0;0;51.26099;11.421669
203;0;0;75.82495;8.436928
204;0;0;76.91699;5
205;0;1;78.75696;8
206;1;1;40.24899;12
207;0;0;61.91397;9
208;1;1;66.409;14
209;0;0;78.836;12
210;1;0;35.66898;12
211;0;1;44.909;12
212;1;0;73.862;12
213;1;0;70.02594;10
214;1;0;50.37097;16
215;1;0;27.228;11.421669
216;1;1;65.04895;12
217;0;0;61.45398;12
218;1;0;73.03796;14
219;1;1;59.61899;6
220;0;1;45.27597;11.421669
221;1;0;67.71497;12
222;0;0;52.36099;14
223;0;0;58.42798;11.040535
224;0;1;66.90997;10
225;0;1;58.267;11
226;0;1;59.37598;12
227;1;1;60.84097;9
228;0;1;71.737;9
229;0;0;20.04399;11.421669
230;1;0;78.59296;12
231;1;1;64.74194;15
232;1;0;88.03595;10
233;0;1;65.89996;11
234;0;0;85.89996;11.421669
235;1;0;62.75998;16
236;0;1;71.75598;8
237;0;0;57.435;11.040535
238;0;1;75.32098;8.436928
239;0;0;73.78796;12
240;1;1;70.66095;16
241;0;0;64.60498;12
242;0;0;60.62097;11
243;0;0;37.50598;12
244;0;1;68.50397;12
245;1;1;75.66095;12
246;0;0;84.46796;10
247;0;1;78.35699;9.945259
248;1;1;69.46198;15
249;0;0;75.625;12
250;0;0;72.59698;8
251;0;0;62.30298;11
252;0;0;74.02899;12
253;0;0;78.39795;11.421669
254;0;0;83.24194;12
255;0;0;67.29895;12
256;1;0;67.89294;12
257;0;0;67.75098;8
258;0;0;37.86398;12
259;0;0;56.09;12
260;0;1;77.5;8
261;1;0;39.633;12
262;1;0;38.508;12
263;1;0;76.36395;10
264;0;0;94.06195;14
265;0;1;60.69498;5
266;1;1;49.49197;12
267;0;1;75.29395;16
268;1;0;33.741;10
269;0;0;70.52197;9.945259
270;1;0;71.95599;8.436928
271;1;0;47.87399;16
272;0;0;65.30298;16
273;0;0;88.53699;16
274;0;1;68.75299;9.945259
275;1;1;33.59097;16
276;0;0;50.754;15
277;0;1;79.896;13.611382
278;1;0;71.75397;18
279;1;0;67.737;7
280;0;0;74.68298;13
281;1;1;79.59198;12
282;0;1;75.14899;6
283;1;0;27.29399;12
284;1;0;41.25897;12
285;0;1;69.383;4
286;1;0;78.02295;8
287;0;0;75.14294;8
288;0;1;76.68396;12
289;0;0;52.22198;14
290;0;1;75.86597;6
291;0;1;73.74896;9.945259
292;1;0;83.71497;8
293;0;0;79.99695;17
294;0;1;61.77399;12
295;1;1;83.31299;8
296;0;1;51.573;14.252106
297;0;0;63.12097;12
298;1;1;66.45599;16
299;1;0;63.784;12
300;1;0;44.08197;12
301;0;0;60.28198;12
302;0;0;62.327;8
303;0;1;21.92699;11.040535
304;0;1;46.51898;14
305;1;0;85.53894;8.436928
306;0;1;68;8
307;0;0;50.754;14.252106
308;1;0;58.95999;13
309;0;1;79.69098;9.945259
310;1;0;70.85797;9.945259
311;0;0;75.12695;9
312;0;1;69.24597;8
313;0;0;72.909;3
314;0;0;75.95898;12
315;0;1;51.63599;12
316;1;0;80.52594;8.436928
317;1;1;54.88599;14
318;0;0;66.53296;9
319;1;0;88.19397;12
320;1;0;67.51794;12
321;0;1;49.45099;8
322;0;0;68.03595;12
323;0;1;72.70398;12
324;1;1;59.88498;14
325;0;1;24.47899;11.040535
326;0;0;54.69699;18
327;0;1;40.41898;15
328;0;0;79.17297;8
329;0;0;44.60797;8
330;1;1;68.19995;14
331;0;0;68.07397;8
332;0;0;37.35498;12
333;0;1;68.20294;12
334;0;1;58.836;6
335;0;0;66.75397;11.421669
336;0;0;68.69299;12
337;0;1;65.59595;8
338;1;0;25.95499;12
339;0;1;61.42398;12
340;1;0;60.745;11.421669
341;0;1;76.57996;16
342;0;1;42.24799;13
343;1;1;69.125;12
344;1;0;68.54797;9.945259
345;0;0;64.05695;8.436928
346;1;1;63.24399;8
347;1;1;31.099;14
348;0;1;74.78699;14
349;0;0;60.33099;14
350;0;1;66.146;7
351;0;1;72.68195;8
352;0;0;84.42395;14
353;0;0;72.28699;8
354;0;0;65.06195;14
355;1;0;77.06;11.421669
356;0;1;36.67398;11.421669
357;1;0;73.00195;12
358;0;1;41.26498;12
359;1;0;60.56897;12
360;0;0;61.40198;12
361;0;0;83.16199;14.252106
362;0;0;63.92599;10
363;0;0;66.26398;8
364;0;0;55.36798;1
365;1;0;47.61398;16
366;0;1;77.53595;13.611382
367;0;0;88.19196;8.436928
368;0;1;61.91898;5
369;0;0;44.94699;12.821571
370;0;0;32.81299;13
371;0;0;67.43298;10
372;0;1;76.24896;12
373;1;0;71.51794;10
374;0;1;71.64099;14
375;0;1;57.74698;10
376;1;1;69.20197;12
377;0;0;85.62097;12
378;0;1;47.93198;14.252106
379;1;0;71.685;9.945259
380;0;0;72.01599;10
381;0;1;45.26797;18
382;0;0;41.771;14
383;1;0;60.82098;7
384;1;0;80.46295;8
385;1;1;72.54999;13
386;0;0;61.30899;9
387;0;0;69.60999;12
388;0;0;74.57397;12
389;1;1;69.70599;6
390;1;0;79.80597;12
391;1;1;44.89499;15
392;0;0;51.54797;10
393;1;1;61.73297;9
394;1;0;34.05899;16
395;0;0;65.93597;9
396;1;1;50.57599;10
397;0;0;44.31799;11
398;0;1;64.70398;8
399;0;0;87.76697;16
400;0;0;62.60898;12
401;0;0;71.52899;9
402;1;1;57.35498;10
403;0;1;66.72095;4
404;0;1;58.59799;0
405;0;0;62.185;20
406;0;1;56.82397;12
407;1;0;64.25696;14
408;1;0;86.72998;8
409;1;0;63.168;11
410;1;0;71.81396;8
411;0;0;35.47198;16
412;1;0;75.61395;8.436928
413;0;1;82.58197;10
414;0;0;81.06995;16
415;0;0;65.37396;12
416;0;1;85.45099;20
417;0;0;53.54099;10
418;0;1;32.42697;11
419;1;0;68.62994;8.436928
420;1;0;61.478;15
421;1;1;75.45795;12
422;0;1;51.01398;14
423;0;1;50.88599;11.040535
424;1;0;73.73297;9.945259
425;1;1;55.047;9
426;0;1;67.01196;12
427;1;0;72.97998;8
428;0;0;77.008;9
429;0;0;79.90997;8
430;1;0;66.80597;8
431;0;0;76.07397;17
432;0;1;84.758;11.421669
433;1;1;46.133;12
434;0;0;70.79297;12
435;0;1;34.14398;11.421669
436;0;1;38.76498;12
437;0;0;69.72498;11
438;0;0;85.41498;8
439;1;0;90.31598;8
440;0;0;85.36096;16
441;1;1;75.90698;16
442;0;0;43.29099;10
443;0;0;48.27399;10
444;0;1;76.77997;3
445;1;1;64.93097;10
446;1;0;27.29099;13.611382
447;0;0;55.29398;12.821571
448;0;1;41.52197;18
449;1;0;65.53894;12
450;0;0;44.06299;13
451;0;0;85.862;14.069916
452;0;0;35.74799;11
453;1;0;48.564;8
454;1;0;50.52399;12.821571
455;0;0;73.42896;12
456;0;0;73.59296;6
457;0;0;64.64899;9.945259
458;1;0;60.51199;8
459;1;0;43.93198;16
460;1;1;31.797;11
461;0;0;51.77298;12
462;1;0;43.168;12
463;0;1;74.02295;9.945259
464;0;0;59.32397;10
465;1;0;79.88495;11.421669
466;0;0;38.98199;11
467;1;0;40.47897;16
468;1;1;48.59097;16
469;0;0;95.58099;4
470;0;1;58.491;11.040535
471;0;1;83.97797;11.421669
472;1;1;60.81299;10
473;0;0;81.21594;9.945259
474;0;1;75.67999;16
475;1;0;61.39398;8.436928
476;1;0;73.81;8.436928
477;0;0;42.88797;9
478;1;0;89.00494;8
479;0;0;82.86395;11.421669
480;1;1;62.85797;9.945259
481;1;1;84.66498;7
482;0;1;31.28299;12
483;0;0;88.89795;11.421669
484;0;1;67.16998;14.252106
485;0;1;71.66296;11
486;0;0;34.53799;12
487;0;1;36.46298;9
488;1;0;23.68799;11.040535
489;1;1;46.155;10
490;1;0;42.49698;10
491;1;0;19.351;12
492;1;0;39.32098;10
493;1;1;62.05298;12
494;0;1;78.81995;11.421669
495;0;1;59.35098;12
496;1;0;89.09198;11.421669
497;0;0;61.89999;12
498;1;0;46.935;14.069916
499;0;1;49.41498;13
500;1;0;59.00299;9
501;0;0;70.92096;9.945259
502;0;0;82.97095;16
503;0;1;75.10699;16
504;1;1;55.047;12
505;1;0;40.62698;11.040535
506;0;0;58.32199;12
507;1;0;52.42999;13
508;1;1;42.95697;12
509;0;1;80.21899;8
510;0;1;36.90298;14
511;0;1;62.853;16
512;0;1;45.40698;12
513;1;1;41.64499;13
514;0;0;91.25299;8
515;0;1;72.65997;2
516;1;0;68.87897;12
517;1;0;72.06598;8
518;0;0;66.75397;15
519;0;0;92.07898;4
520;0;0;85.06494;11.421669
521;0;0;51.20099;14.252106
522;0;0;66.92096;11.421669
523;0;0;53.81799;12
524;1;0;37.41498;11.040535
525;1;0;101.84796;12
526;0;1;72.10999;11.421669
527;1;1;74.98999;12
528;0;1;71.26099;3
529;0;0;62.20898;9.945259
530;0;0;62.67999;16
531;1;0;53.55499;14
532;1;1;62.34399;14
533;0;1;30.015;12
534;1;0;67.38696;12
535;0;0;54.91299;9
536;1;0;62.25098;11
537;0;1;61.68698;12
538;0;0;41.40698;16
539;0;0;95.41394;8
540;1;1;42.13599;8
541;1;0;71.13495;8
542;0;0;61.85397;11
543;1;1;42.83398;12
544;1;0;51.702;13
545;0;0;37.18799;12
546;1;0;85.00195;16
547;0;0;77.96594;12
548;0;0;71.03595;12
549;0;0;82.89697;3
550;0;1;50.95099;12
551;0;0;88.159;8
552;0;1;70.92694;16
553;1;0;34.72098;19
554;1;1;30.834;12
555;1;0;66.88599;14
556;1;1;69.77698;11.421669
557;0;0;85.15796;5
558;0;0;64.45398;11
559;0;1;71.04199;9
560;0;1;46.80099;12
561;1;0;71.74799;16
562;1;0;60.57999;7
563;0;0;69.65094;12
564;0;1;77.85895;11.421669
565;1;0;55.73199;8
566;0;1;69.21594;9
567;1;1;27.10699;12
568;0;1;74.64795;8
569;1;1;72.33099;5
570;0;0;62.155;10
571;1;1;55.68799;12
572;0;1;59.73999;6
573;0;0;62.02298;8
574;1;1;74.52399;12
575;1;0;57.21597;12
576;1;0;64.76898;12
577;0;1;87.19196;9
578;0;1;74.43896;16
579;0;1;54.98199;11.040535
580;0;0;24.63499;8
581;0;0;80.02698;12
582;0;0;95.79199;11.421669
583;0;1;45.37198;12
584;0;1;80.44397;9
585;0;1;63.978;12
586;0;0;71.99695;8.436928
587;1;0;21.254;11.040535
588;1;0;76.91998;9.945259
589;0;1;65.62396;3
590;0;0;58.60898;12
591;1;0;62.35699;11.421669
592;0;1;68.44098;17
593;0;0;43.73199;13
594;1;1;74.297;18
595;0;1;74.75397;9.945259
596;0;0;78.78998;15
597;0;0;91.61896;12
598;0;1;77.06;12
599;0;1;77.17694;8.436928
600;0;1;65.57697;16
601;0;1;37.25098;12
602;1;0;63.064;16
603;0;1;69.133;14
604;1;0;33.5;12
605;0;0;63.439;9.945259
606;0;0;71.31598;12
607;1;0;19.92599;12
608;0;1;61.37198;17
609;0;0;56.88199;14.069916
610;0;1;75.24396;12
611;1;0;61.84;11
612;1;0;83.88196;15
613;0;0;76.35297;12
614;0;0;45.18799;12
615;1;0;38.49698;17
616;1;0;44.29599;14
617;0;1;70.43695;9.945259
618;0;1;50.89398;16
619;1;0;33.60699;16
620;1;0;42.11899;16
621;0;0;73.22699;2
622;1;0;65.08698;11.421669
623;0;0;85.45697;8
624;0;0;90.448;12
625;1;1;59.39798;12
626;1;0;49.34198;13
627;0;1;78.86896;9.945259
628;0;0;68.19397;12
629;0;0;23.573;14
630;1;1;71.06396;12
631;0;1;68.96899;13
632;1;0;52.82098;12
633;0;0;61.72498;9
634;1;1;84.41595;4
635;0;0;59.96997;12
636;1;0;80.474;18
637;0;0;53.48898;10
638;0;0;61.47299;10
639;1;1;38.80399;14
640;0;1;48.63797;12
641;0;1;75.87695;13.611382
642;0;1;58.95398;13.611382
643;0;0;54.46997;18
644;0;0;68.94696;8
645;0;0;56.46799;11.040535
646;0;0;56.879;10
647;0;0;57.91898;12
648;0;0;78.67798;12
649;0;0;51.11298;10
650;0;1;56.91998;16
651;1;1;58.20398;14
652;0;0;64.047;12
653;0;0;75.93695;6
654;0;1;39.392;7
655;0;1;72.76898;11
656;0;0;68.94196;8
657;1;0;53.99597;9
658;0;1;69.45898;11.421669
659;0;1;44.94199;12
660;0;0;75.75598;10
661;1;0;76.22498;13
662;0;0;93.09796;9
663;0;0;59.504;12
664;1;1;38.39798;15
665;0;1;64.03595;9
666;0;0;90.11597;5
667;0;1;74.11896;8.436928
668;1;0;30.741;12
669;1;0;47.60797;12
670;0;0;64.849;12
671;0;0;29.05699;3
672;1;1;52.89499;18
673;1;0;78.42798;9.945259
674;0;0;76.70599;11
675;1;1;47.47699;11.040535
676;0;0;57.04898;8
677;0;0;50.702;12
678;0;1;84.27698;16
679;1;0;88.58899;12
680;0;0;48.181;12
681;1;0;52.94498;12
682;0;1;74.78998;12
683;0;0;61.728;9.945259
684;1;0;40.375;10
685;0;0;76.04095;8
686;0;0;81.24799;5
687;1;0;75.12097;16
688;0;0;67.02295;13
689;0;1;65.64294;14
690;0;1;44.58899;14
691;1;1;43.625;13
692;0;0;74.31097;9.945259
693;0;0;60.65997;14.252106
694;1;1;70.09698;8
695;0;1;46.612;12
696;1;0;45.17697;12
697;1;0;46.77298;12
698;0;1;44.85999;13
699;0;0;84.70898;11.421669
700;0;1;71.98395;12
701;0;1;85.30597;12
702;1;0;30.10799;14
703;0;1;72.91998;9.945259
704;1;0;63.34;7
705;0;1;71.15094;11.421669
706;0;1;68.91699;8
707;0;1;67.784;18
708;1;0;39.15399;12
709;1;0;72.03796;12
710;1;0;52.73398;12.821571
711;0;0;65.66199;12
712;1;1;36.78598;16
713;0;1;30.07799;11.040535
714;1;0;19.79199;12
715;0;0;71.52399;8
716;0;0;31.22499;11
717;1;0;62.56;18
718;0;1;37.12;10
719;0;1;29.50899;16
720;0;0;79.33698;9.945259
721;1;1;27.30199;13.611382
722;1;0;19.14899;11
723;1;0;54.92999;12
724;0;1;53.84299;7
725;0;0;68.43799;15
726;0;0;73.41498;12
727;1;1;38.68298;12
728;1;0;73.62097;12
729;0;0;91.67694;14
730;0;0;47.836;11.040535
731;0;1;76.96399;12
732;0;0;58.14099;12
733;1;0;46.76199;12
734;1;0;35.25497;12
735;0;0;60.39999;10
736;1;0;39.29898;8
737;0;1;66.58496;12
738;1;1;55.12698;12
739;1;1;76.66296;12
740;1;0;36.29797;12
741;1;0;89.35199;14
742;0;1;68.22699;11
743;0;1;76.31195;12
744;1;0;89.52496;10
745;1;0;56.45999;11.040535
746;0;1;55.198;15
747;1;1;68.08795;18
748;1;1;77.93298;9
749;0;0;58.94299;10
750;0;0;47.21997;12
751;0;0;71.79999;21
752;1;1;58.793;5
753;1;0;78.38495;12
754;1;1;78.92694;8.436928
755;0;0;61.862;12
756;0;1;69.42596;3
757;0;1;76.81897;8
758;0;1;65.711;12
759;1;1;53.50299;14
760;0;0;82.56299;9.945259
761;1;0;29.77399;12
762;0;1;88.32898;15
763;0;0;61.14697;11.421669
764;0;0;49.45697;12
765;1;0;51.58698;12
766;1;0;56.93399;12.821571
767;0;0;91.20898;13.649826
768;0;0;59.28299;12
769;0;1;66.02295;10
770;0;0;36.62698;11.040535
771;0;1;53.26797;16
772;1;1;64.12;9
773;0;1;79.25494;14
774;0;0;74.27795;12
775;0;0;72.67596;12
776;0;0;77.63696;9.945259
777;0;1;74.146;12
778;0;1;73.32196;9.945259
779;0;0;56.64899;13
780;0;1;72.48999;14
781;0;0;29.13599;18
782;1;1;75.75897;13.262733
783;0;0;89.46997;10
784;0;1;47.57599;12
785;0;0;85.41296;14
786;1;0;70.09698;9
787;0;1;61.55499;18
788;0;1;54.34097;14
789;1;0;35.96997;11.704216
790;1;0;50.78699;15.139847
791;0;0;59.53198;13
792;1;0;35.52899;12
793;1;0;75.76196;11.421669
794;0;1;68.39197;11
795;1;1;59.59998;12
796;1;1;79.71497;12
797;0;0;63.32098;12
798;0;0;61.23999;8
799;0;0;74.58997;2
800;0;1;68.34497;16
801;1;0;65.02899;12
802;1;0;41.83197;12
803;0;0;62.80899;12
804;0;0;68;9.945259
805;1;1;70.11896;14
806;1;0;79.63599;11.421669
807;0;0;87.48798;13.611382
808;0;0;85.80194;12
809;0;0;65.93597;15
810;0;0;77.74896;12
811;1;1;59.31;15
812;0;0;52.00497;8
813;1;0;19.34299;12
814;0;1;82.26099;12
815;1;0;58.06198;11
816;0;0;65.86395;11.522331
817;0;0;91.25299;14
818;0;0;69.81195;0
819;0;0;80.01099;13
820;0;1;60.75;11.421669
821;0;0;64.63495;10
822;1;1;40.74698;16
823;0;0;36.57199;12
824;0;1;46.20099;16
825;1;0;44.47098;16
826;0;0;44.71198;10
827;0;0;81.60199;9.945259
828;1;1;70.16296;16
829;0;1;61.20697;12
830;0;1;40.00299;12
831;0;0;68.18896;11.522331
832;0;0;32.28497;16
833;0;0;76.73096;12
834;1;1;68.11798;8
835;0;0;26.10799;12
836;0;0;81.07898;12
837;1;1;64.20496;0
838;1;0;57.84;16
839;0;0;34.99799;18
840;0;1;81.85895;9.945259
841;0;1;70.93994;12
842;1;1;71.60596;8
843;0;0;67.30695;12
844;0;1;73.94897;11.421669
845;1;0;46.702;12
846;1;0;63.54797;12
847;1;0;38.418;11
848;0;1;63.63898;16
849;0;0;86.73499;9
850;1;1;70.31097;16
851;0;1;54.56799;0
852;0;1;57.01797;14.252106
853;0;0;91.90997;16
854;1;1;74.80396;4
855;0;0;53.73898;16
856;1;0;18.18999;11
857;1;0;72.64294;12
858;0;0;22.89899;11.040535
859;0;0;21.59299;11.040535
860;0;0;70.78198;12
861;0;0;77.87799;20
862;0;1;45.96298;14
863;0;1;55.99698;12.821571
864;0;0;59.88498;8
865;0;0;45.103;11.040535
866;1;1;65.01794;16
867;0;1;60.04398;12
868;0;0;59.754;12
869;0;0;85.172;20
870;1;0;70.90997;6
871;0;1;54.61697;12
872;1;0;66.30798;12
873;0;0;66.71295;14
874;1;0;70.034;16
875;1;0;69.75995;12
876;0;0;63.87399;9.945259
877;0;1;30.407;12
878;0;0;69.66699;11.421669
879;1;0;34.995;14
880;0;0;40.099;10
881;0;1;51.086;12
882;0;1;71.146;19
883;0;0;59.79498;11.421669
884;0;0;39.86899;14.069916
885;0;1;36.81;14
886;0;1;67.92096;11
887;1;0;40.77798;17
888;1;0;87.41699;9
889;0;0;80.37;9.945259
890;1;0;31.088;6
891;1;1;25.95999;11.040535
892;1;0;48.84299;12
893;0;1;55.31799;12
894;0;1;77.29498;8
895;0;1;41.79599;11.040535
896;1;1;54.92099;7
897;0;1;46.65598;16
898;0;0;85.284;12
899;1;1;44.38898;12
900;0;1;39.14899;12
901;0;0;50.82797;11
902;0;1;79.97797;10
903;0;0;47.01999;13
904;0;0;77.35797;12
905;1;0;48.30698;11.040535
906;1;0;36.22198;11.040535
907;1;0;21.681;8
908;1;1;36.517;14
909;1;0;62.58197;12
910;0;0;68.50897;5
911;0;0;65.58197;16
912;0;0;72.64899;9.945259
913;1;0;63.61099;9.945259
914;0;0;54.33499;9
915;0;0;66.70496;12
916;1;0;44.42999;5
917;1;0;31.713;9
918;1;0;70.23999;11
919;1;0;62.69098;13
920;1;1;59.75098;2
921;0;1;77.87;0
922;1;1;56.88397;12
923;0;0;75.48297;10
924;0;1;52.28497;11.040535
925;0;1;78.20398;12
926;1;0;71.362;12
927;0;0;65.23999;16
928;0;0;74.20898;0
929;1;0;19.127;12
930;0;1;75.95898;12
931;0;0;58.18799;12
932;0;1;77.54999;14
933;1;1;46.55399;13
934;0;1;45.16098;12
935;0;0;88.82996;8
936;0;0;52.86499;12.821571
937;0;0;58.26099;12
938;0;0;82.09399;11.421669
939;0;0;48.98798;11
940;0;0;51.34299;0
941;1;0;72.422;4
942;0;0;63.90097;12
943;0;0;60.44098;10
944;0;1;74.72699;11.421669
945;0;1;71.96698;12
946;0;0;51.23099;12
947;0;1;51.362;11.040535
948;0;1;60.70099;5
949;0;0;77.15497;11.421669
950;0;0;54.30798;17
951;1;1;72.43298;8
952;0;1;81.91095;13
953;0;0;76.96594;12
954;0;0;78.25897;9.945259
955;1;0;75.948;8
956;0;0;76.96399;14
957;1;0;81.55194;7
958;0;0;53.728;11
959;0;1;67.51495;9.945259
960;0;1;33.405;12.821571
961;0;1;68.73895;10
962;1;1;52.11798;12.821571
963;0;1;81.81195;14
964;0;1;59.20599;12
965;0;0;87.836;8
966;0;0;31.82999;15
967;0;0;89.31396;11.421669
968;0;0;57.84799;10
969;0;1;54.67798;14
970;1;0;30.935;11
971;1;1;22.146;15
972;1;1;73.13898;13
973;0;1;37.25098;14
974;0;1;60.10098;14.252106
975;0;0;44.92297;16
976;0;0;65.34399;12
977;0;0;39.28799;12
978;0;0;77.758;16
979;0;0;52.22699;8
980;0;0;70.03998;12
981;0;0;79.60596;9.945259
982;0;1;72.65198;9.945259
983;0;0;78.12695;11
984;0;0;82.62;11
985;0;1;63.66299;22
986;0;1;61.88599;12
987;0;0;78.05597;5
988;0;0;51.62198;10
989;0;0;73.47595;9.945259
990;1;0;40.59698;12
991;1;1;51.16998;14
992;0;1;64.047;8
993;1;1;49.10098;12
994;0;0;85.26495;8.436928
995;1;0;69.52795;17
996;1;0;64.12;12
997;1;0;54.26999;16
998;1;0;59.36798;12
999;1;0;80.08197;4
1000;1;0;51.45499;13
1001;1;1;63.62198;14
1002;1;1;64.85999;12
1003;0;0;80.323;13.611382
1004;0;1;69.74896;10
1005;1;1;26.14099;12
1006;1;0;33.46997;12
1007;0;1;76.74194;12
1008;0;1;73.57697;6
1009;1;0;70.94897;12
1010;1;0;71.95898;12
1011;1;0;43.05798;16
1012;1;1;29.599;11.040535
1013;0;0;82.66699;12
1014;0;1;62.93198;12
1015;1;0;91.43896;14
1016;1;1;61.89999;20
1017;0;1;75.35699;9
1018;0;0;49.892;14
1019;1;0;60.20499;14
1020;0;1;29.62099;12
1021;1;1;68.54797;9.945259
1022;1;1;77.32794;5
1023;1;1;59.57797;11
1024;1;1;34.75699;8
1025;1;0;30.10799;11.421669
1026;0;0;76.67096;16
1027;0;1;75.27399;12
1028;1;0;69.77698;12
1029;0;0;42.71597;6
1030;0;0;38.63397;11
1031;0;1;42.06699;18
1032;1;0;41.18799;15
1033;0;0;32.58899;11
1034;0;0;74.49396;9.945259
1035;0;1;51.19498;17
1036;1;1;72.12598;11.421669
